id,type,question,a,b,c,d,answer,chose
14,normal,The road surface is most slippery:,During a heavy rain or storm,Just after the rain,Just when it starts raining,During a light rain,Just when it starts raining,
15,normal,A diamond-shaped sign is a:,Road hazard sign,Interstate route sign,School crossing sign,Speed limit sign,Road hazard sign,
16,normal,Before you reach the intersection when crossing railroad tracks in slow traffic you should:,Sound your horn as you are crossing the tracks,Stop on the tracks until your light turns green,Stop between the crossing gates in case they close,Wait until you can completely cross the tracks before you proceed,Wait until you can completely cross the tracks before you proceed,
17,normal,Who is responsible for knowing how your medications affect your driving?,You,Your doctor,Your pharmacist,The DMV clerk,You,
18,normal,Orange construction signs warn you:,Of workers and road equipment ahead,That there are driver services ahead,Of an accident ahead,That you will have to come to a complete stop shortly,Of workers and road equipment ahead,
19,normal,If you experience brake failure while driving you should,Downshift and look for an area to slow down and stop,Pump brake pedal quickly if useless pump released parking brake,Stop off the road if possible and call for help,All of the above,All of the above,
20,normal,You are waiting at a red light to turn right and a pedestrian on your right is waiting to cross the street you want to enter. Who has the right-of-way when your light turns green,The pedestrian has the right-of-way,You have the right-of-way only if the crosswalk is not marked,You have the right-of-way because your light is green,You have the right-of-way if you move first,The pedestrian has the right-of-way,
21,normal,When passing in the oncoming traffic lane of a two lane road you should consider,Your speed relative to others and your ability to accelerate,How much clear space you need to pass and how much you have,The speed and distance of oncoming traffic and possible hazards,All of the above,All of the above,
22,normal,Turn your front wheels toward the curb when you are parked,Facing uphill,On a level road,Facing downhill,Next to a fire hydrant,Facing downhill,
23,normal,Following closely behind another vehicle,Helps you avoid other drivers blind spots,Is a common cause of rear-end accidents,Increases fuel efficiency,Is part of the standard driving test,Is a common cause of rear-end accidents,
24,normal,A red and white triangular sign at an intersection means,Slow down if an emergency vehicle is approaching,Look both ways as you cross the intersection,Always come to a full stop at the intersection,Slow down and be prepared to stop if necessary,Slow down and be prepared to stop if necessary,
25,normal,When you enter a freeway you should check traffic by using,The inside and outside mirrors only,Only your rearview mirrors,All mirrors and turning your head,Only your left side-view mirror,All mirrors and turning your head,
26,normal,Teenage drivers are more likely to be involved in a crash when,They are driving with their peer as a passenger,They are driving with adult passengers,They are driving with teenage passengers,They are driving without any passengers,They are driving with teenage passengers,
27,normal,When you hear the siren or see the flashing red light of a closely approaching emergency vehicle and you are not in the intersection you shoul,Drive slowly in the right lane until it has passed,Speed up so that you can stay ahead of it,Drive to the right edge of the road and stop,Choose any of the above options,Drive to the right edge of the road and stop,
28,normal,If your tires are not inflated to the pressure recommended by the manufacturer it may cause,Low gas mileage,Uneven tire wear,Improper steering,All of the above,All of the above,
29,normal,When the road is marked with a solid yellow line and a broken yellow line on your side you may pass,Only in an emergency,If you are on an expressway,If traffic is clear,Only at an intersection,If traffic is clear,
30,normal,When you approach a sharp curve in the road, YOU SHOULD Start braking as soon as you enter the curve,Start braking before you enter the curve,Accelerate into the curve and brake out of it,Accelerate through the whole curve to increase traction,Start braking before you enter the curve,
31,normal,Which of these statements is true about driving and taking drugs?,Only illegal drugs can impair your driving,Even over-the-counter drugs can impair your driving,Any prescription drug is safe to use if you don't feel drowsy,All of the above,Even over-the-counter drugs can impair your driving,
32,normal,"When you hear the sirens or see the red emergency lights of a closely approaching emergency vehicle, you must:",Speed up to clear traffic ,Drive slowly until it has passed,Drive to the right edge and stop,Stop in the intersection,Drive to the right edge and stop,
33,normal,If a pedestrian is in a crosswalk in the middle of a block:,The pedestrian has the right-of-way,The pedestrian must yield the right-of-way,"Vehicles have the right-of-way, but drivers must legally take care for the pedestrian safety","Drivers must honk the horn approaching the crosswalk, to urge the pedestrian to cross faster",The pedestrian has the right-of-way,
34,normal,"On a two way highway, you are allowed to drive on the left half of the roadway when",There is a double yellow center line,There is a solid line on your side of the center line,"It is safe to pass, and passing is allowed",You are approaching a corner at which you intend to turn left,"It is safe to pass, and passing is allowed",
35,normal,The car behind you begins to pass you. You should,Maintain your speed so traffic will flow smoothly,Pull to the right and stop so he can pass,Slow down slightly and stay in your lane,Blow your horn to allow him to pass,Slow down slightly and stay in your lane,
36,normal,Drivers who eat and drink while driving:,Have no driving errors,Have trouble driving slow,Are better drivers because they are not hungry,Have trouble controlling their vehicles,Have trouble controlling their vehicles,
37,normal,"When a traffic signal light is not working, you should:",Stop only if other vehicles are present ,Slow down and stop if necessary ,Stop and then continue driving when it is safe ,Proceed through the intersection as usual,Stop and then continue driving when it is safe ,
38,normal,"If you see orange construction signs and cones on a freeway, you must:",Change lanes and maintain your current speed,Be prepared for workers and equipment ahead ,Slow down because the lane ends ahead ,Speed up to avoid rubbernecking ,Be prepared for workers and equipment ahead ,
39,normal,When may you legally drive around or under a railroad crossing gate?,Under no circumstances ,When you can clearly see in both directions ,When the gate does not seem to be working correctly ,When you think you can drive through before it comes down ,Under no circumstances ,
40,normal,"The ""three-second rule"" applies to the space _________ of your vehicle.",to the sides,ahead,in back,all around,ahead,
41,normal,"When roads are slippery, you should:",Decrease the distance you look ahead of your vehicle,Stop and test the traction of your tires while going up hills ,Avoid making fast turns and fast stops ,Refrain from driving at all costs ,Avoid making fast turns and fast stops ,
42,normal,What are the colors of a sign which tells you the distance to the next exit of a highway?,Yellow with black letters. ,Black with white letters. ,Red with white letters. ,Green with white letters. ,Green with white letters. ,
43,normal,"On the intersection, if you see a green arrow pointing to the left, you can:",Go in any direction ,Make a protected turn left ,Make a turn left or go straight ,Turn left only if there are no vehicles coming in the opposite direction ,Make a protected turn left ,
44,normal,"When you drive through an area where children are playing, you should expect them:",To know when it is safe to cross,To stop at the curb before crossing the street,To run our in front of your without looking,Not to cross unless they are with an adult,To run our in front of your without looking,
45,normal,"When parking downhill and the curb is absent, your front wheels must be turned:",Towards the road ,Parallel to the road,Towards the side of the road ,In the direction of traffic,Towards the side of the road ,
46,normal,You may drive across a sidewalk to:,Avoid driving over a speed bump,Enter or exit a driveway or alley,Make a U-turn ,Pass a traffic jam ,Enter or exit a driveway or alley,
47,normal,"If you need to slow down or stop when other drivers may not expect it, you should: ",Use your emergency brake,Look over your shoulder for traffic in your blind spot,Quickly tap your brake pedal a few times,Get ready to blow your horn,Quickly tap your brake pedal a few times,
48,normal,You may drive off the paved roadway to pass another vehicle:,If the shoulder is wide enough to accommodate your vehicle,If the vehicle ahead of you is turning left,If the vehicle ahead of you is turning right,Under no circumstances,Under no circumstances,
49,normal,"When approaching a railroad crossing with no warning device, the speed limit is:",15 mph,20 mph,25 mph,30 mph,15 mph,
50,normal,Parallel parking is when the:,Front wheels are turned toward the street,Vehicle is in line with other parked vehicles,Rear wheels are touching the curb,Front wheels are turned against the street,Vehicle is in line with other parked vehicles,
51,normal,"When you are merging onto the freeway, you should be driving:",At or near the same speed as the traffic on the freeway,5 to 10 MPH slower than the traffic on the freeway,Accelerate to reach the speed of at least 60 mph,The posted speed limit for traffic on the freeway,At or near the same speed as the traffic on the freeway,
52,normal,Dim your high-beam headlights to low-beams within ______ feet when a vehicle is coming towards you.,200,300,400,500,500,
53,normal,A blue curb means:,Parking for mail delivery only,Parking for disabled persons with a special placard or license plate,Parking for disabled persons,Parking for motorcyles,Parking for disabled persons with a special placard or license plate,
54,normal,There is a school bus ahead of you in your lane with flashing yellow lights. You should:,"Stop, then proceed when you think all the children have exited the bus",Slow to 25 MPH and pass cautiously,Slow down and prepare to stop,Stop immediately and wait until the bus goes away,Slow down and prepare to stop,
55,normal,California’s “basic speed law” says:,You should never drive faster than posted speed limits,You should never drive faster than is safe for current conditions,The maximum speed limit in California is 70 mph on certain freeways,You should drive with at least the speed of 5 mph under any conditions,You should never drive faster than is safe for current conditions,
56,normal,You just sold your vehicle. You must notify ______ within 5 days.,CHP,SJSU,Your insuarance provider,DMV,DMV,
57,normal,Looking down the road to where your vehicle will be in about 10 seconds helps you to ______________.,Enjoy the scenery,Avoid last minute moves,See hazards inside your car,Check if there's any hole on the street,Avoid last minute moves,
